ID,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
2010-8,Cats & Dogs: The Revenge of Kitty Galore,2010,"July 26, 2010","August 22, 2010",
2010-9,WWE / Moxie Girlz,2010,"August 23, 2010","September 19, 2010",
2010-10,Legends of the Guardians: Owls of Ga'Hoole,2010,"September 20, 2010","October 10, 2010",
2010-11,Prehistoric Pets / Stardoll,2010,"October 11, 2010",???,
2010-12,Xbox Kinectimals,2010,"November 01, 2010",???,
2010-13,Zhu,2010,"November 22, 2010","December 19, 2010",
2010-14,Gulliver's Travels,2010,"December 20, 2010","January 20, 2010",
2011-1,SpongeBob SquarePants: Legends of Bikini Bottom,2011,???,???,
2011-2,Hasbro Family Game Night,2011,"February 27, 2011",???,
2011-3,Rango,2011,"February 28, 2011","March 27, 2011",
2011-4,Hop,2011,"March 28, 2011","April 24, 2011",
2011-5,Thor,2011,"April 29, 2011","June 19, 2011",
2011-6,Transformers: Dark of the Moon,2011,"June 20, 2011","July 17, 2011",
2011-7,Nerf Super Soaker,2011,"July 18, 2011",???,
2011-8,Paper Jamz,2011,???,???,
2011-9,The Simpsons Treehouse of Horror,2011,???,???,
2011-10,SpongeBob's Runaway Roadtrip,2011,???,???,
2011-11,Happy Feet 2,2011,???,???,
2011-12,Carnival,2011,"February 20, 2011","February 20, 2011",
2012-1,Big Miracle,2012,???,???,
2012-2,Hasbro Family Game Night,2012,???,???,
2012-3,Monster Jam/ Pinkalicious,2012,???,???,
2012-4,Discovery Kids,2012,???,???,
2012-5,Mattel Games,2012,???,???,
2012-6,Wii U Super Mario Bros.,2012,???,???,
2012-7,Kidz Bop,2012,"January 20, 2012","January 20, 2012",
2013-1,Discovery Kids Space,2013,???,???,
2013-2,Cut the Rope: Time Travel,2013,???,???,
2013-3,Jurassic Park,2013,???,???,
2013-4,The Jungle Book,2013,???,???,
2013-5,Beyblade/Care Bears,2013,???,???,
2013-6,The Simpsons Super Heroes,2013,???,???,
2013-7,Matchbox/Polly Pocket,2013,"January 20, 2013","January 20, 2013",
2014-1,Pac,2014,???,???,
2014-2,Ice Age,2014,???,???,
2014-3,Rio 2,2014,???,???,
2014-4,Tom and Jerry,2014,???,???,
2014-5,The Jungle Book,2014,???,???,
2014-6,Dolphin Tale 2,2014,???,???,
2014-7,Strawberry Shortcake/G.I. Joe,2014,???,???,
2015-1,Angry Birds Stella/Angry Birds Go!,2015,???,???,
2015-2,NCAA Basketball,2015,???,???,
2015-3,Lalaloopsy/Slugterra,2015,???,???,
2015-4,Scooby,2015,???,???,
2015-5,The Simpsons: Back to School,2015,???,???,
2015-6,Plants vs. Zombies,2015,???,???,
2015-7,Teen Titans Go!,2015,"February 20, 2015","February 20, 2015",
2016-1,Garfield,2016,???,???,
2016-2,DC Super Friends,2016,???,???,
2016-3,The Penguins of Madagascar,2016,???,???,
2016-4,Kung Fu Panda 3,2016,???,???,
2016-5,Kubo and the Two Strings,2016,???,???,
2016-6,Dragons: Race to the Edge,2016,???,???,
2016-7,The Secret Life of Pets,2016,???,???,
2017-1,Trolls,2017,???,???,
2017-2,Voltron: Legendary Defender/Care Bears,2017,???,???,
2017-3,Angry Birds,2017,???,???,
2017-4,Smurfs: The Lost Village,2017,???,???,
2017-5,Max Steel/Monster High,2017,???,???,
2017-6,Sherlock Gnomes,2017,"January 20, 2017","January 20, 2017",
2018-1,Skylanders Academy/Mysticons,2018,???,???,
2018-2,Justice League Action,2018,???,???,
2018-3,Nerf,2018,???,???,
2018-4,Power Rangers / Miraculous,2018,???,???,
2018-5,Super Monsters,2018,???,???,
2018-6,Hotel Transylvania 3,2018,???,???,
2018-7,Aquaman,2018,"February 20, 2018","February 20, 2018",
2019-1,Rabbids,2019,???,???,
2019-2,Pokémon: Detective Pikachu,2019,???,???,
2019-3,Beyblade Burst/The Powerpuff Girls,2019,???,???,
2019-4,Transformers Cyberverse/My Little Pony,2019,"August 05, 2019","September 29, 2019",
2019-5,Emoji,2019,"October 07, 2019","December 01, 2019",
2019-6,The Secret Life of Pets 2,2019,???,"December 02, 2019",
2020-1,Feisty Pets,2020,"February 03, 2020","March 08, 2020",
2020-2,You Can Be Anything Barbie/Hot Wheels,2020,"March 16, 2020","May 03, 2020",
2020-3,Crayola,2020,"May 25, 2020","June 25, 2020",
2020-4,Wonder Woman,2020,???,"August 03, 2020",
2020-5,Nerf,2020,"September 14, 2020","November 08, 2020",
2020-6,King Jr. Art Cards Pack,2020,"November 30, 2020","December 20, 2020",
2020-7,The Croods: A New Age,2020,"December 21, 2020","January 31, 2020",
2021-1,Nintendo Switch,2021,"February 01, 2021","March 14, 2021",
2021-2,Justice League,2021,"March 15, 2021","April 25, 2021",
2021-3,Angry Birds,2021,"May 10, 2021","June 20, 2021",
2021-4,Scholastic Books,2021,"June 21, 2021","July 25, 2021",
2021-5,Trolls: Trollstopia,2021,"September 06, 2021","October 09, 2021",
2021-6,The SpongeBob Movie: Sponge on the Run,2021,"November 01, 2021","December 05, 2021",
2021-7,Animal Planet,2021,"December 06, 2021","February 06, 2021",
2022-1,Mattel Games,2022,"February 07, 2022","March 11, 2022",
2022-2,Miraculous,2022,"March 12, 2022","April 17, 2022",
2022-3,Peanuts,2022,"April 18, 2022","May 22, 2022",
2022-4,Barbie/Hot Wheels,2022,"May 30, 2022","July 10, 2022",
2022-5,Justice League,2022,"July 11, 2022","August 14, 2022",
2022-6,Subway Surfers,2022,"August 29, 2022","October 02, 2022",
2022-7,Crayola,2022,"October 03, 2022","November 13, 2022",
2022-8,The Smurfs,2022,"November 14, 2022","December 25, 2022",
2023-1,Emoji Soccer,2023,"January 16, 2023","February 26, 2023",
2023-2,Sonic the Hedgehog,2023,"March 06, 2023","April 15, 2023",
2023-3,Spider,2023,"May 12, 2023","June 21, 2023",
2023-4,Warner Bros 100th Anniversary,2023,???,"June 22, 2023",
2023-5,Various reruns,2023,"August 14, 2023","September 25, 2023",
2023-6,PAW Patrol: The Mighty Movie,2023,"September 26, 2023","November 05, 2023",
2023-7,Batwheels,2023,"November 06, 2023","December 17, 2023",
2024-1,Miraculous: Tales of Ladybug and Cat Noir,2024,"January 01, 2024","February 11, 2024",
2024-2,Kung Fu Panda 4,2024,???,"February 26, 2024",
2024-3,Tom and Jerry,2024,"April 08, 2024","May 19, 2024",
2024-4,The Garfield Movie,2024,"May 20, 2024","June 30, 2024",
2024-5,DC Justice League Statues,2024,"July 01, 2024","August 25, 2024",
2024-6,Transformers One,2024,"August 26, 2024","October 06, 2024",
2024-7,The Addams Family,2024,"October 07, 2024","November 10, 2024",
2024-8,Barbie/Hot Wheels,2024,"November 25, 2024","January 05, 2024",
2025-1,The Smurfs,2025,"January 13, 2025","March 02, 2025",
2025-2,DreamWorks Keyclips,2025,"March 03, 2025","April 20, 2025",
2025-3,Peppa Pig,2025,"April 21, 2025","May 26, 2025",
2025-4,How to Train Your Dragon,2025,"May 27, 2025","July 20, 2025",
2025-5,Naruto,2025,"July 21, 2025","August 31, 2025",
2025-6,Squeeze Racers,2025,"September 01, 2025","September 07, 2025",
2025-7,Scooby Doo and the Haunted Headless Horseman,2025,"September 08, 2025","November 02, 2025",
2025-8,The SpongeBob Movie: Search for SquarePants,2025,"November 03, 2025","January 19, 2025",
2026-1,Yo Gabba GabbaLand!,2026,"January 20, 2026","March 05, 2026",
