ID,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
1982-4,"The Dukes of Hazzard (May 21, 1982 - July 4, 1982) (Kansas City, MO/St. Louis, MO metro areas, Nebraska, and North Carolina)",1982,"May 21, 1982","July 4, 1982",
1982-5,"McDonaldland Express (June 11, 1982 - July 15, 1982)",1982,"June 11, 1982","July 15, 1982",
1982-6,"Giggles and Games (June 28, 1982 - October 21, 1982)",1982,"June 28, 1982","October 21, 1982",
1982-7,"Little Golden Book (July 16, 1982 - August 23, 1982)",1982,"July 16, 1982","August 23, 1982",
1982-8,"Playmobil (October 22, 1982 - November 2, 1982) (recalled due to safety hazards)",1982,"October 22, 1982","November 2, 1982",
1982-9,Sky-Busters (1982),1982,Sky,Busters,
1983-1,"McDonaldland Junction (January 17-March 27, 1983)",1983,January 17,"March 27, 1983",
1983-2,"Mystery Happy Meal (March 28-June 5, 1983)",1983,March 28,"June 5, 1983",
1983-3,Play-Doh (May 1983) (Boston metro area),1983,Play,Doh,
1983-4,"Ship Shape Happy Meal (June 6-July 18, 1983)",1983,June 6,"July 18, 1983",
1983-5,Lego Building Sets (June 1983) (Salt Lake City area),1983,June 1983,,
1983-6,"Circus Happy Meal (September 30-November 23, 1983)",1983,September 30,"November 23, 1983",
1983-7,"Winter Worlds Happy Meal (November 28, 1983-February 5, 1984)",1983,"November 28, 1983","February 5, 1984",
1983-8,Astrosniks (1983),1983,1983,,
1983-9,Going Places Cups/Hot Wheels (1983),1983,1983,,
1983-10,Happy Pail (1983) (New York State and portions of New Jersey),1983,1983,,
1983-11,Happy Teeth (1983) (New England area),1983,1983,,
1984-1,"Good Sports Happy Meal (February 5-April 15, 1984)",1984,February 5,"April 15, 1984",
1984-2,"Popoids/Crazy Creatures (March 30-May 6, 1984) (St. Louis metro area)",1984,March 30,"May 6, 1984",
1984-3,"Astrosniks (March-April 1984 and August 10-September 23, 1984) (St. Louis metro area)",1984,March,April 1984 and August 10,
1984-4,"Happy Pail (May 18-June 17, 1984)",1984,May 18,"June 17, 1984",
1984-5,"Olympic Sports Happy Meal (June 18-August 20, 1984)",1984,June 18,"August 20, 1984",
1984-6,"School Days Happy Meal (August 20-October 25, 1984)",1984,August 20,"October 25, 1984",
1984-7,"Lego Building Sets (October 26-November 25, 1984)",1984,October 26,"November 25, 1984",
1984-8,"Happy Holidays Happy Meal (November 23-December 24, 1984)",1984,November 23,"December 24, 1984",
1984-9,"Picture Perfect Happy Meal (December 28, 1984-January 25, 1985)",1984,"December 28, 1984","January 25, 1985",
1984-10,Fast Macs (1984),1984,1984,,
1984-11,Olympic Beach Balls (1984),1984,1984,,
1985-1,"Play-Doh (February 15-March 29, 1985) (Kansas, Missouri, Illiinois, Tennessee, Arkansas, Oklahoma, Alabama, Texas, and Indiana)",1985,Play,Doh,
1985-2,"Sticker Club Happy Meal (March 11-May 19, 1985)",1985,March 11,"May 19, 1985",
1985-3,Magic Show Happy Meal (April-May 1985),1985,April,May 1985,
1985-4,"Ship Shape Happy Meal (May 31-June 30, 1985)",1985,May 31,"June 30, 1985",
1985-5,"E.T.: The Extra Terrestrial (July 5-August 1, 1985)",1985,July 5,"August 1, 1985",
1985-6,"Crazy Creatures with Popoids (August 2-September 2, 1985)",1985,August 2,"September 2, 1985",
1985-7,"Commandrons (August 22-September 21, 1985)",1985,August 22,"September 21, 1985",
1985-8,"Halloween Pails (October 11-31, 1985) (New England area)",1985,October 11,"31, 1985",
1985-9,"Stomper Mini I 4x4 Push-Along (Septembr 6-October 17, 1985)",1985,Stomper Mini I 4x4 Push,Along,
1985-10,Astrosniks (November 1985) (Oklahoma),1985,November 1985,,
1985-11,"Santa Claus: The Movie (November 22-December 24, 1985)",1985,November 22,"December 24, 1985",
1985-12,"Feeling Good Happy Meal (December 26, 1985-March 9, 1986)",1985,"December 26, 1985","March 9, 1986",
1985-13,Beach Ball Characters (1985),1985,1985,,
1985-14,"Crayola (Summer 1985) (Evansville, IN area)",1985,Summer 1985,,
1985-15,Day & Night Happy Meal (1985),1985,1985,,
1985-16,Fast Macs (1985),1985,1985,,
1985-17,Florida Beach Balls (1985) (Florida),1985,1985,,
1985-18,Hobby Box Happy Meal (1985) (Southern US areas),1985,1985,,
1985-19,Little Travelers/Super Travelers (1985) (Oklahoma),1985,1985,,
1985-20,Music Happy Meal (1985) (St. Louis metro area),1985,1985,,
1985-21,On the Go Happy Meal (1985),1985,1985,,
1985-22,Toothbrush Happy Meal (1985) (New England area),1985,1985,,
1985-23,Transformers/My Little Pony (Summer 1985) (St. Louis metro area),1985,Summer 1985,,
1985-24,Wacky Glasses/Drinking Straws (1985),1985,1985,,
1986-1,"Airport Happy Meal (March 10-May 18, 1986)",1986,March 10,"May 18, 1986",
1986-2,"Old McDonald's Farm/Barnyard Happy Meal (April-May 1986) (St. Louis, MO and Tennessee)",1986,April,May 1986,
1986-3,"Happy Pail Happy Meal (May 30-July 6, 1986)",1986,May 30,"July 6, 1986",
1986-4,"Play-Doh (July 7-August 3, 1986)",1986,Play,Doh,
1986-5,"Stomper Mini 4x4s (August 8-September 7, 1986)",1986,August 8,"September 7, 1986",
1986-6,"Muppet Babies (August 8-September 7, 1986) (Savannah, GA metro area)",1986,August 8,"September 7, 1986",
1986-7,"Young Astronauts (September 8-October 5, 1986)",1986,September 8,"October 5, 1986",
1986-8,"Tinosaurs (September 12-October 19, 1986) (St. Louis, MO metro area)",1986,September 12,"October 19, 1986",
1986-9,"Halloween Pails (October 13-30, 1986)",1986,October 13,"30, 1986",
1986-10,"Lego (October 31-November 26, 1986)",1986,October 31,"November 26, 1986",
1986-11,"An American Tail (November 28-December 24, 1986)",1986,November 28,"December 24, 1986",
1986-12,"The Berenstain Bears (November 28-December 24, 1986) (Evansville, IN metro area)",1986,November 28,"December 24, 1986",
1986-13,"Colorforms Happy Meal (December 29, 1986-February 1, 1987)",1986,"December 29, 1986","February 1, 1987",
1986-14,"Beach Ball Happy Meal (1986) (Washington, New York, and Colorado)",1986,Washing,"n, New York, and Colorado",
1986-15,Beachcomber Happy Meal (1986) (South Carolina),1986,1986,,
1986-16,Construx (1986),1986,1986,,
1986-17,Crayola (1986),1986,1986,,
1986-18,Glo-tron Spaceships (1986),1986,Glo,tron Spaceships,
1986-19,"Story of Texas Happy Meal (1986) (Austin, TX and Houston, TX metro areas)",1986,"Austin, TX and Hous","n, TX metro areas",
1987-1,"Runaway Robots (February 6-March 22, 1987) (Nebraska, Michigan, Maine, Massachusetts, Tennessee, Alabama, and St. Louis, MO area)",1987,February 6,"March 22, 1987",
1987-2,"Little Engineer (February 9-March 15, 1987)",1987,February 9,"March 15, 1987",
1987-3,"Potato Head Kids (February 20-March 19, 1987) (Texas, Oklahoma, and New Mexico)",1987,Pota,Head Kids,
1987-4,"Crayola (March 20-April 26, 1987)",1987,March 20,"April 26, 1987",
1987-5,Kissyfur (April-May 1987),1987,April,May 1987,
1987-6,"Fraggle Rock/Doozers (April 24-May 28, 1987) (West Virginia)",1987,April 24,"May 28, 1987",
1987-7,"McDonaldland Band (April 27-June 4, 1987)",1987,April 27,"June 4, 1987",
1987-8,"Super Summer (May 22-June 25, 1987) (Fresno, CA metro area)",1987,May 22,"June 25, 1987",
1987-9,"Muppet Babies (June 5-July 9, 1987)",1987,June 5,"July 9, 1987",
1987-10,"Design-O-Saurs (July 2-August 6, 1987)",1987,July 2,"August 6, 1987",
1987-11,"Boats 'N Floats Happy Meal (August 7-September 3, 1987)",1987,August 7,"September 3, 1987",
1987-12,"The Real Ghostbusters (September 4-October 15, 1987)",1987,September 4,"October 15, 1987",
1987-13,"Zoo Face (October 2-31, 1987) (Evansville, IN metro area)",1987,October 2,"31, 1987",
1987-14,"Halloween Pails (October 16-31, 1987)",1987,October 16,"31, 1987",
1987-15,"The Berenstain Bears (October 30-November 29, 1987)",1987,October 30,"November 29, 1987",
1987-16,"Disney Favorites (November 30-December 24, 1987)",1987,November 30,"December 24, 1987",
1987-17,"Bigfoot Happy Meal (1987) (Florida, St. Louis, MO and Buffalo, NY areas)",1987,1987,,
1987-18,"Castlemakers/Sand Castle Happy Meal (1987) (Michigan, Illinois, and Houston, TX metro area)",1987,"Michigan, Illinois, and Hous","n, TX metro area",
1987-19,Changeables Happy Meal (1987),1987,1987,,
1987-20,Good Friends Happy Meal (1987),1987,1987,,
1987-21,High-Flying Kite Happy Meal (1987) (New England),1987,High,Flying Kite Happy Meal,
1987-22,Lunch Box Happy Meal (1987) (Southern US areas),1987,1987,,
1987-23,McDonaldland TV Lunch Box/Lunch Bunch (1987) (New England),1987,1987,,
1987-24,Metro Zoo Happy Meal (South Florida) (February-March 1987),1987,February,March 1987,
1988-1,"Sailors (January 1-28, 1988)",1988,January 1,"28, 1988",
1988-2,"DuckTales (February 5-March 10, 1988)",1988,February 5,"March 10, 1988",
1988-3,"The New Archies (Spring 1988) (St. Louis, MO metro area)",1988,Spring 1988,,
1988-4,"SeaWorld of Ohio (Spring 1988) (Cleveland, OH metro area)",1988,Spring 1988,,
1988-5,"Fraggle Rock (March 11-April 7, 1988)",1988,March 11,"April 7, 1988",
1988-6,"CosMc Crayola (April 15-May 12, 1988)",1988,April 15,"May 12, 1988",
1988-7,"Super Summer (May 20-June 23, 1988)",1988,May 20,"June 23, 1988",
1988-8,"SeaWorld of Texas (Summer 1988) (San Antonio, TX metro area)",1988,San An,"nio, TX metro area",
1988-9,"Bambi (July 8-August 4, 1988)",1988,July 8,"August 4, 1988",
1988-10,"Garfield (July 1988) (Erie, PA and Charleston, SC metro areas)",1988,"Erie, PA and Charles","n, SC metro areas",
1988-11,"On the Go Lunch Boxes (August 12-September 8, 1988)",1988,August 12,"September 8, 1988",
1988-12,"Olympic Sports (September 9-29, 1988) (Alabama and Georgia)",1988,September 9,"29, 1988",
1988-13,Peter Rabbit (Fall 1988) (New York and Pennsylvania),1988,Fall 1988,,
1988-14,"Zoo Face (September 30-October 27, 1988)",1988,September 30,"October 27, 1988",
1988-15,Halloween Pails (October 1988),1988,October 1988,,
1988-16,"Storybook Muppet Babies (October 28-November 17, 1988)",1988,October 28,"November 17, 1988",
1988-17,"Oliver & Company (November 25-December 22, 1988)",1988,November 25,"December 22, 1988",
1988-18,"McNugget Buddies (December 30, 1988-January 26, 1989)",1988,"December 30, 1988","January 26, 1989",
1988-19,Big Top (1988),1988,1988,,
1988-20,"Black History (only at 6 restaurants in Detroit, MI metro area)",1988,Black His,ry,
1988-21,The Flintstone Kids (1988) (New England and portions of Florida),1988,The Flints,ne Kids,
1988-22,"Hot Wheels (1988) (Texas, Connecticut, and Virginia)",1988,1988,,
1988-23,Luggage Tag (1988),1988,1988,,
1988-24,"Mac Tonight (1988) (California, New Jersey Chicago, IL and St. Louis, MO metro areas)",1988,Mac,night,
1988-25,Matchbox Super GT (1988) (Oklahoma),1988,1988,,
1988-26,"McDonaldland Movables (1988) (St. Louis, MO metro area)",1988,1988,,
1988-27,"Sport Ball Happy Meal (1988) (Springfield, MO metro area)",1988,1988,,
1988-28,Turbo Macs (1988) (California and Florida),1988,1988,,
1989-1,"Bedtime (February 3-March 2, 1989)",1989,February 3,"March 2, 1989",
1989-2,"Mickey's Birthdayland (March 17-April 20, 1989)",1989,March 17,"April 20, 1989",
1989-3,"McBunny/Earsan Pails (Spring 1989) (Ilinois, California, Missouri, Alabama)",1989,Spring 1989,,
1989-4,"Little Gardener (April 21-May 18, 1989)",1989,April 21,"May 18, 1989",
1989-5,"New Food Changeables (May 19-June 15, 1989)",1989,May 19,"June 15, 1989",
1989-6,Dinosaur Talking Storybook Happy Meal (Summer 1989) (Michigan and Wisconsin),1989,Dinosaur Talking S,rybook Happy Meal,
1989-7,"Muppet Kids (Summer 1989) (St. Louis, MO metro area)",1989,Summer 1989,,
1989-8,Read Along with Ronald (Summer 1989) (New England),1989,Summer 1989,,
1989-9,"Beach Toy Happy Meal (June 1989) (Greenville, SC and Fresno, CA metro areas)",1989,Beach,y Happy Meal,
1989-10,"Garfield (June 23-July 20, 1989)",1989,June 23,"July 20, 1989",
1989-11,"Lego Motion (July 28-August 24, 1989)",1989,July 28,"August 24, 1989",
1989-12,"Fun with Food (September 1-28, 1989)",1989,September 1,"28, 1989",
1989-13,"Raggedy Ann and Andy (September 1-28, 1989) (Nevada, Hawaii, Southern Pennsylvania, San Francisco and Portland, OR metro areas)",1989,September 1,"28, 1989",
1989-14,"Mix'em Up Monsters (September 1989) (Northern California and St. Louis, MO metro area)",1989,September 1989,,
1989-15,"Halloween Pails (October 6-31, 1989)",1989,October 6,"31, 1989",
1989-16,"Chip 'n Dale: Rescue Rangers (October 27-November 23, 1989)",1989,October 27,"November 23, 1989",
1989-17,"The Little Mermaid (November 24-December 21, 1989)",1989,November 24,"December 21, 1989",
1989-18,"Funny Fry Friends (December 22, 1989-January 18, 1990)",1989,"December 22, 1989","January 18, 1990",
1989-19,"Burger Six Pack to Go Happy Meal (1989) (Connecticut, Florida, and Southwest US areas)",1989,Burger Six Pack,Go Happy Meal,
1989-20,"Funny Fry Friends (1989) (California, Maryland, and Pennsylvania)",1989,1989,,
1989-21,Rain or Shine (1989),1989,1989,,
1989-22,"SeaWorld of Texas (1989) (San Antonio, TX metro area)",1989,San An,"nio, TX metro area",
1989-23,"McDonaldland Sunglasses (1989) (Florida, Georgia, and Alabama)",1989,1989,,
1990-1,"The Berenstain Bears Books (January 26-February 22, 1990)",1990,January 26,"February 22, 1990",
1990-2,"Happy Meal from the Heart/Valentine Happy Meal (February 2-24, 1990) (Southern US areas)",1990,February 2,"24, 1990",
1990-3,"Peanuts (March 30-April 26, 1990)",1990,March 30,"April 26, 1990",
1990-4,"Camp McDonaldland (April 27-May 24, 1990)",1990,April 27,"May 24, 1990",
1990-5,Summer Surprise (Summer 1990),1990,Summer 1990,,
1990-6,"Beach Toy Happy Meal (June 1-28, 1990)",1990,Beach,y Happy Meal,
1990-7,"Barbie/Hot Wheels (July 1990) (Savannah, GA area)",1990,July 1990,,
1990-8,I Like Bikes (July 1990) (Northern Illinois and South Carolina),1990,July 1990,,
1990-9,"The Jungle Book (July 6-August 2, 1990)",1990,July 6,"August 2, 1990",
1990-10,"Super Mario Bros. 3 (August 3-30, 1990)",1990,August 3,"30, 1990",
1990-11,Dink the Little Dinosaur (August 1990) (Oklahoma and Texas),1990,August 1990,,
1990-12,"Tom & Jerry Band (September 2-October 4, 1990)",1990,September 2,"October 4, 1990",
1990-13,"Turbo Macs (September 7-October 4, 1990)",1990,September 7,"October 4, 1990",
1990-14,"Fry Benders (September 7-October 4, 1990)",1990,September 7,"October 4, 1990",
1990-15,"McDonaldland Carnival (September 7-October 4, 1990)",1990,September 7,"October 4, 1990",
1990-16,"Sports Ball Happy Meal (September 7-October 4, 1990)",1990,September 7,"October 4, 1990",
1990-17,"Hats (September 7-October 4, 1990) (Alabama, Georgia, Florida, and Louisiana)",1990,September 7,"October 4, 1990",
1990-18,"McDonaldland Dough (September 7-October 4, 1990) (Southern US states)",1990,September 7,"October 4, 1990",
1990-19,"McDrive Thru Crew (September 7-October 4, 1990) (Illinois and Ohio)",1990,September 7,"October 4, 1990",
1990-20,"Halloween Pails (October 5-25, 1990)",1990,October 5,"25, 1990",
1990-21,"TaleSpin (November 2-29, 1990)",1990,November 2,"29, 1990",
1990-22,"The Rescuers Down Under (November 30-December 27, 1990)",1990,November 30,"December 27, 1990",
1991-1,"Good Morning (January 4-31, 1991)",1991,January 4,"31, 1991",
1991-2,"Tiny Toon Adventures (February 8-March 7, 1991)",1991,Tiny,on Adventures,
1991-3,"Alvin and the Chipmunks (March 8-April 12, 1991) (Texas)",1991,March 8,"April 12, 1991",
1991-4,"Muppet Babies (March 8-April 11, 1991)",1991,March 8,"April 11, 1991",
1991-5,"Gravedale High (March 14-April 11, 1991)",1991,March 14,"April 11, 1991",
1991-6,"McDonaldland Circus Parade (March 14-April 11, 1991)",1991,March 14,"April 11, 1991",
1991-7,"Mighty Mini Happy Meal (March 14-April 11, 1991) (California, Washington, Pennsylvania, and New England)",1991,March 14,"April 11, 1991",
1991-8,"Piggsburg Pigs (March 14-April 11, 1991) (Florida)",1991,March 14,"April 11, 1991",
1991-9,"Nature's Helper (April 12-May 16, 1991)",1991,April 12,"May 16, 1991",
1991-10,"McDino Changeables (May 24-June 20, 1991)",1991,May 24,"June 20, 1991",
1991-11,Breakfast Happy Meal (Summer-Fall 1991) (Northeastern US),1991,Summer,Fall 1991,
1991-12,"101 Dalmatians (July 5-August 1, 1991)",1991,July 5,"August 1, 1991",
1991-13,"Sports Ball (August-September 1991) (Indiana, New England, Kansas City, MO)",1991,August,September 1991,
1991-14,"Barbie/Hot Wheels (August 2-28, 1991)",1991,August 2,"28, 1991",
1991-15,"Connectibles (August 29-September 5, 1991)",1991,August 29,"September 5, 1991",
1991-16,"Crazy Vehicles (August 29-September 5, 1991)",1991,August 29,"September 5, 1991",
1991-17,"McCharacters on Bikes/McDonaldland on Wheels (August 29-September 6, 1991)",1991,August 29,"September 6, 1991",
1991-18,"Discover the Rainforest (September 6-October 3, 1991)",1991,September 6,"October 3, 1991",
1991-19,"Friendly Skies (October 10, 1991-December 1991) (airport locations only)",1991,"October 10, 1991",December 1991,
1991-20,"McBoo Bags and Buckets (October 11-31, 1991)",1991,October 11,"31, 1991",
1991-21,"Super Looney Tunes (November 8-December 5, 1991)",1991,November 8,"December 5, 1991",
1991-22,"Hook (December 13, 1991-January 9, 1992)",1991,"December 13, 1991","January 9, 1992",
1991-23,McDonald's Pizza Happy Sack (1991) (Connecticut and New England),1991,1991,,
1992-1,Crayon Sketch toys (January),1992,Crayon Sketch,ys,
1992-2,Mystery of the Lost Arches toys (January 3-February 2),1992,Mystery of the Lost Arches,ys,
1992-3,Potato Head Kids toys (January 31-March 5),1992,Potato Head Kids,ys,
1992-4,"Crayon Squeeze Bottles (January 31-March 5) (Albany, NY area and Connecticut)",1992,January 31,March 5,
1992-5,"The Real Ghostbusters (January 31-March 5) (Kansas City, MO area and Kansas)",1992,January 31,March 5,
1992-6,"Water Games (January 31-March 5) (Maryland, Hawaii, Illinois, and Washington)",1992,January 31,March 5,
1992-7,Wild Friends (January 31-March 5) (Southern California and Indiana),1992,January 31,March 5,
1992-8,"Yo Yogi! (January 31-March 5) (California, Northern Florida, Northern Georgia, and portions of Alabama)",1992,January 31,March 5,
1992-9,Young Astronauts toys (March 6-April 2),1992,Young Astronauts,ys,
1992-10,Back to the Future: The Animated Series (April 10-May 7),1992,Back,the Future,
1992-11,Nature's Watch toys (May 8-June 4),1992,s Watch,ys,
1992-12,Batman Returns (June 12-July 9),1992,June 12,July 9,
1992-13,Michael Jordan Fitness Fun toys (July 10-August 6),1992,Michael Jordan Fitness Fun,ys,
1992-14,Barbie & Hot Wheels Mini Streex toys (August 7-September 3),1992,Hot Wheels Mini Streex,ys,
1992-15,Behind the Scenes toys (September 11-October 8),1992,Behind the Scenes,ys,
1992-16,Halloween Pails (October 9-29),1992,,,
1992-17,Tiny Toon Adventures Cars (October 30-November 26),1992,Tiny,on Adventures Cars,
1992-18,Tonka & Cabbage Patch toys (November 27-December 31),1992,Cabbage Patch,ys,
1993-1,M-Squad toys (January 8-February 4),1993,Squad,ys,
1993-2,Dinosaurs toys (February 5-March 4),1993,Dinosaurs,ys,
1993-3,Food Fundamentals (March 5-April 8),1993,March 5,April 8,
1993-4,Looney Tunes Quack-Up Car Chase vehicles (April 9-May 6),1993,Looney Tunes Quack,Up Car Chase vehicles,
1993-5,Out for Fun (May 7-June 10),1993,May 7,June 10,
1993-6,Nickelodeon Game Gadgets (June 11-July 8),1993,June 11,July 8,
1993-7,Snow White and the Seven Dwarfs toys (July 9-August 5),1993,Snow White and the Seven Dwarfs,ys,
1993-8,Barbie & Hot Wheels Racing toys (August 6-September 2),1993,Hot Wheels Racing,ys,
1993-9,Linkables toys (August-September) (Vermont and parts of New England),1993,Linkables,ys,
1993-10,Field Trip toys (September 10-October 7),1993,Field Trip,ys,
1993-11,Halloween McNugget Buddies toys (October 8-29),1993,Halloween McNugget Buddies,ys,
1993-12,Batman (November 5-25),1993,,,
1993-13,"Mattel's Totally Toy Holiday toys (December 10, 1993-January 6, 1994)",1993,s Totally Toy Holiday,ys,
1994-1,Makin' Movies toys (January 7-February 4),1994,Movies,ys,
1994-2,Sonic the Hedgehog 3 (February 4-March 3),1994,February 4,March 3,
1994-3,Bobby's World toys (March 4-31),1994,s World,ys,
1994-4,Earth Days toys (April 8-May 5),1994,Earth Days,ys,
1994-5,Animaniacs (May 6-June 2),1994,May 6,June 2,
1994-6,The Flintstones toys (June 3-July 7),1994,The Flintstones,ys,
1994-7,Epcot Center toys (July 8-August 4),1994,Epcot Center,ys,
1994-8,Barbie & Hot Wheels toys (August 5-September 8),1994,Hot Wheels,ys,
1994-9,The Magic School Bus toys (September 9-October 6),1994,The Magic School Bus,ys,
1994-10,Halloween Pails (October 7-27),1994,,,
1994-11,Happy Birthday Happy Meal (October 28-December 1),1994,October 28,December 1,
1994-12,Tonka & Cabbage Patch Kids toys (December 2-29),1994,Cabbage Patch Kids,ys,
1995-1,Muppet Workshop toys (January 6-February 2),1995,Muppet Workshop,ys,
1995-2,Polly Pocket & Attack Pack toys (February 3-March 2),1995,Attack Pack,ys,
1995-3,Space Rescue (March 3-31),1995,,,
1995-4,Amazing Wildlife toys (April 1-30),1995,Amazing Wildlife,ys,
1995-5,Spider-Man (May 1-31),1995,Spider,Man,
1995-6,Disneyland Adventures toys (June 1-30),1995,Disneyland Adventures,ys,
1995-7,Mighty Morphin Power Rangers: The Movie (July 1-31),1995,,,
1995-8,Barbie & Hot Wheels Attack Pack toys (August 1-31),1995,Hot Wheels Attack Pack,ys,
1995-9,The Busy World of Richard Scarry (September 1-30),1995,,,
1995-10,What am I going to be for Halloween? (October 1-31),1995,What am I going,be for Halloween,
1995-11,Animaniacs toys (November 1-30),1995,Animaniacs,ys,
1995-12,Mattel's Totally Toy Holiday toys (December 1-31),1995,s Totally Toy Holiday,ys,
1996-1,VR Troopers toys (January 19-February 15),1996,VR Troopers,ys,
1996-2,Muppet Treasure Island toys (February 16-March 14),1996,Muppet Treasure Island,ys,
1996-3,Transformers / Littlest Pet Shop toys (March 15-April 11),1996,Transformers / Littlest Pet Shop,ys,
1996-4,Walt Disney Masterpiece Collection toys (April 19-May 16),1996,Walt Disney Masterpiece Collection,ys,
1996-5,Marvel Super Heroes (May 17-June 14),1996,May 17,June 14,
1996-6,Babe toys (June 14-July 11),1996,Babe,ys,
1996-7,Barbie / Hot Wheels toys (July 12-August 15),1996,Barbie / Hot Wheels,ys,
1996-8,Aladdin and the King of Thieves toys (August 16-September 12),1996,Aladdin and the King of Thieves,ys,
1996-9,Eric Carle toys (September 20-October 10),1996,Eric Carle,ys,
1996-10,Halloween McNugget Buddies (October 11-31),1996,,,
1996-11,Space Jam toys (November 1-26),1996,Space Jam,ys,
1996-12,101 Dalmatians (November 27-January 2),1996,November 27,January 2,
1997-1,Nickelodeon Tangle toys (January 10-February 7),1997,Nickelodeon Tangle,ys,
1997-2,Mighty Ducks pucks (February 7-March 6),1997,February 7,March 6,
1997-3,The Hunchback of Notre Dame (March 7-April 3),1997,March 7,April 3,
1997-4,"Ty Teenie Beanie Babies toys (April 11-24, 1997)",1997,Ty Teenie Beanie Babies,ys,
1997-5,Walt Disney Home Video Masterpiece Collection (April 25-May 21),1997,April 25,May 21,
1997-6,Micro Machines / Spinning Sky Dancers (May 30-June 19),1997,May 30,June 19,
1997-7,Hercules toys (June 20-July 24),1997,Hercules,ys,
1997-8,"Endangered Animal Pals (August 1-24, 1997)",1997,August 1,"24, 1997",
1997-9,Beetleborgs Metallix toys (August 15-September 4),1997,Beetleborgs Metallix,ys,
1997-10,Sleeping Beauty (September 12-October 2),1997,September 12,October 2,
1997-11,The Jungle Book (October 3-23),1997,,,
1997-12,Barbie / Hot Wheels (October 24-November 27),1997,October 24,November 27,
1997-13,The Little Mermaid (November 28-December 25),1997,November 28,December 25,
1997-14,101 Dalmatians toys (December 26-January 29),1997,101 Dalmatians,ys,
1998-1,Hercules (January 30-February 26),1998,January 30,February 26,
1998-2,Peter Pan (February 27-March 26),1998,February 27,March 26,
1998-3,My Little Pony/Transformers Beast Wars toys (March 27-April 16),1998,My Little Pony/Transformers Beast Wars,ys,
1998-4,Disney's Animal Kingdom (April 24-May 21),1998,April 24,May 21,
1998-5,Ty Teenie Beanie Babies (May 22-June 18),1998,May 22,June 18,
1998-6,Mulan toys (June 19-July 16),1998,Mulan,ys,
1998-7,Tamagotchi Toyz (July 17-August 13),1998,Tamagotchi,yz,
1998-8,Nascar Hot Wheels/Barbie toys (August 14-September 10),1998,Nascar Hot Wheels/Barbie,ys,
1998-9,Disney Video Favorites toys (September 11-October 1),1998,Disney Video Favorites,ys,
1998-10,Ronald and Pals Haunted Halloween Nerds Candy Dispensers (October 9-October 29),1998,October 9,October 29,
1998-11,The Lion King 2: Simba's Pride (October 30-November 26),1998,October 30,November 26,
1998-12,A Bug's Life (November 27-December 24),1998,November 27,December 24,
1998-13,Recess toys (December 25-January 21),1998,Recess,ys,
1999-1,Mulan (January 29-February 25),1999,January 29,February 25,
1999-2,Winnie the Pooh: Sing a Song with Pooh Bear (February 26-March 25),1999,February 26,March 25,
1999-3,Furby (March 26-April 22),1999,March 26,April 22,
1999-4,Mystic Knights of Tir Na Nog toys (April 23-May 20),1999,Mystic Knights of Tir Na Nog,ys,
1999-5,Ty Teenie Beanie Babies toys (May 21-June 17),1999,Ty Teenie Beanie Babies,ys,
